Region,Predicted_Alcoholic_Beverages_Expenditure,Average_Alcoholic_Beverages_Expenditure,Average_Household_Income,Business_Potential_Score
Autonomous Region in Muslim Mindanao,537.63,75.19641943734015,131005.04143222506,0.0
Bicol,934.88,812.3135543920885,162936.43106457242,23.452074527121162
Cagayan Valley,899.65,1785.8577235772357,191509.66666666666,21.372234160625307
Calabarzon,1938.53,1127.7940862130388,231176.03811898825,82.70361536826694
Caraga,1064.95,735.3208241353937,157767.27520235468,31.130894750513615
Central Luzon,2231.51,1071.2072113190325,226767.76951163853,100.0
Central Visayas,970.31,1130.5424018212864,175411.83323847468,25.543722105462013
Cordillera Administrative Region,1045.04,1009.9068128425998,202637.0555990603,29.955486811344368
Davao,1114.78,989.8314196242171,182751.77974947807,34.0726615816941
Eastern Visayas,865.54,1114.442124105012,152696.82398568018,19.358514180461423
Ilocos,969.2,1398.2261761158022,191732.4167671894,25.478192079722294
Mimaropa,1146.15,1427.996887966805,170321.91701244813,35.92462275958155
National Capital Region,1344.22,1451.6345461815274,274984.87405037985,47.61789501027227
Northern Mindanao,1036.97,691.5479265805575,161273.82053025154,29.479065813398826
Soccsksargen,783.62,1020.1031116534472,144263.31909701036,14.522280208751507
Western Visayas,1134.38,1685.732223903177,175936.7256681795,35.229768342503604
Zamboanga Peninsula,822.26,698.2686151704941,153940.84899095338,16.803433537204523
