Region,Predicted_Housing_Water_Expenditure,Actual_Housing_Water_Expenditure,Average_Household_Income,Business_Potential_Score
Autonomous Region in Muslim Mindanao,17504.76,16338.616879795396,131005.04143222506,0.0
Bicol,22694.4,23350.785340314134,162936.43106457242,16.599751274335205
Cagayan Valley,25328.58,23793.317073170732,191509.66666666666,25.025525087514595
Calabarzon,37486.68,39247.276095475594,231176.03811898825,63.91481913652275
Caraga,20392.02,21151.651214128036,157767.27520235468,9.235283731499115
Central Luzon,34628.88,36383.00593336376,226767.76951163853,54.77376711908124
Central Visayas,28785.9,28832.960728514514,175411.83323847468,36.08422127372106
Cordillera Administrative Region,34126.38,33826.07361002349,202637.0555990603,53.16645427746729
Davao,24623.88,24071.132567849687,182751.77974947807,22.77144875023031
Eastern Visayas,21148.44,22180.170644391408,152696.82398568018,11.654793342750107
Ilocos,26482.5,26681.761158021713,191732.4167671894,28.716491125713933
Mimaropa,22922.52,21681.099585062242,170321.91701244813,17.329423324940127
National Capital Region,48768.12,59387.50819672131,274984.87405037985,100.0
Northern Mindanao,23022.6,21312.652617267166,161273.82053025154,17.64954246760425
Soccsksargen,17548.26,20111.403294691885,144263.31909701036,0.139140514647178
Western Visayas,26097.06,25287.279878971254,175936.7256681795,27.483610206964325
Zamboanga Peninsula,19820.58,16710.83089770355,153940.84899095338,7.407457163913294
